path	size	mode	count	status	crc_ok	resolved_entries
ms0\EU\DLCTEX\ad1af221.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af222.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af223.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af224.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af23b.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af23c.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af23d.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af23e.PDT	133120	0x100	3	ok	3/3	TEXT@0x1e000+0x2800
ms0\EU\DLCTEX\ad1af240.PDT	75776	0x100	3	ok	3/3	TEXT@0x10000+0x2800
ms0\EU\DLCTEX\ad1af241.PDT	75776	0x100	3	ok	3/3	TEXT@0x10000+0x2800
ms0\EU\DLCVOICE\171ae461.PDT	1572864	0x100	76	ok	76/76	
ms0\EU\DLCVOICE\181ae463.PDT	1282048	0x100	40	ok	40/40	
ms0\EU\DLCVOICE\191ae465.PDT	800768	0x100	30	ok	30/30	
ms0\EU\DLCVOICE\1a1ae467.PDT	1021952	0x100	34	ok	34/34	
